estado;codigo_ibge;municipio;quantidade;fonte/filtro
AC;1200401;Rio Branco;15339;Ano 2014
AC;1200203;Cruzeiro do Sul;2621;Ano 2014
AC;1200500;Sena Madureira;922;Ano 2014
AC;1200104;Brasiléia;756;Ano 2014
AC;1200302;Feijó;655;Ano 2014
AC;1200609;Tarauacá;652;Ano 2014
AC;1200450;Senador Guiomard;608;Ano 2014
AC;1200252;Epitaciolândia;479;Ano 2014
AC;1200708;Xapuri;283;Ano 2014
AC;1200385;Plácido de Castro;283;Ano 2014
AC;1200807;Porto Acre;225;Ano 2014
AC;1200013;Acrelândia;218;Ano 2014
AC;1200179;Capixaba;215;Ano 2014
AC;1200336;Mâncio Lima;201;Ano 2014
AC;1200344;Manoel Urbano;199;Ano 2014
AC;1200054;Assis Brasil;159;Ano 2014
AC;1200138;Bujari;142;Ano 2014
AC;1200393;Porto Walter;130;Ano 2014
AC;1200427;Rodrigues Alves;114;Ano 2014
AC;1200351;Marechal Thaumaturgo;107;Ano 2014
AC;1200435;Santa Rosa do Purus;66;Ano 2014
AC;1200328;Jordão;62;Ano 2014
AL;2704302;Maceió;46917;Ano 2014
AL;2700300;Arapiraca;9252;Ano 2014
AL;2707701;Rio Largo;2736;Ano 2014
AL;2706703;Penedo;2448;Ano 2014
AL;2706307;Palmeira dos Índios;2030;Ano 2014
AL;2709301;União dos Palmares;2019;Ano 2014
AL;2704708;Marechal Deodoro;1842;Ano 2014
AL;2708600;São Miguel dos Campos;1797;Ano 2014
AL;2702405;Delmiro Gouveia;1604;Ano 2014
AL;2702306;Coruripe;1577;Ano 2014
AL;2708006;Santana do Ipanema;1103;Ano 2014
AL;2706901;Pilar;981;Ano 2014
AL;2709152;Teotônio Vilela;967;Ano 2014
AL;2700409;Atalaia;869;Ano 2014
AL;2704500;Maragogi;869;Ano 2014
AL;2705507;Murici;823;Ano 2014
AL;2701407;Campo Alegre;732;Ano 2014
AL;2709400;Viçosa;726;Ano 2014
AL;2707305;Porto Calvo;724;Ano 2014
AL;2701001;Boca da Mata;629;Ano 2014
AL;2708501;São Luís do Quitunde;623;Ano 2014
AL;2705705;Olho D'água das Flores;622;Ano 2014
AL;2707107;Piranhas;615;Ano 2014
AL;2705101;Matriz de Camaragibe;594;Ano 2014
AL;2701308;Cajueiro;556;Ano 2014
AL;2708808;São Sebastião;538;Ano 2014
AL;2706448;Paripueira;487;Ano 2014
AL;2701704;Capela;469;Ano 2014
AL;2704005;Junqueiro;469;Ano 2014
AL;2708303;São José da Laje;460;Ano 2014
AL;2702900;Girau do Ponciano;411;Ano 2014
AL;2705200;Messias;408;Ano 2014
AL;2706406;Pão de Açúcar;403;Ano 2014
AL;2704807;Maribondo;391;Ano 2014
AL;2708907;Satuba;389;Ano 2014
AL;2700508;Barra de Santo Antônio;363;Ano 2014
AL;2700706;Batalha;336;Ano 2014
AL;2708402;São José da Tapera;328;Ano 2014
AL;2702108;Colônia Leopoldina;327;Ano 2014
AL;2706505;Passo de Camaragibe;317;Ano 2014
AL;2700607;Barra de São Miguel;315;Ano 2014
AL;2704401;Major Isidoro;308;Ano 2014
AL;2709103;Taquarana;304;Ano 2014
AL;2703007;Ibateguara;297;Ano 2014
AL;2706802;Piaçabuçu;288;Ano 2014
AL;2703205;Igreja Nova;284;Ano 2014
AL;2703809;Joaquim Gomes;281;Ano 2014
AL;2708709;São Miguel dos Milagres;276;Ano 2014
AL;2702355;Craíbas;276;Ano 2014
AL;2708105;Santana do Mundaú;270;Ano 2014
AL;2703106;Igaci;258;Ano 2014
AL;2700201;Anadia;249;Ano 2014
AL;2704203;Limoeiro de Anadia;248;Ano 2014
AL;2707602;Quebrangulo;244;Ano 2014
AL;2703759;Jequiá da Praia;239;Ano 2014
AL;2705002;Mata Grande;227;Ano 2014
AL;2707503;Porto Real do Colégio;225;Ano 2014
AL;2704104;Lagoa da Canoa;224;Ano 2014
AL;2701100;Branquinha;215;Ano 2014
AL;2703601;Japaratinga;213;Ano 2014
AL;2706109;Ouro Branco;212;Ano 2014
AL;2700102;Água Branca;190;Ano 2014
AL;2702603;Feira Grande;190;Ano 2014
AL;2709202;Traipu;186;Ano 2014
AL;2705606;Novo Lino;183;Ano 2014
AL;2703304;Inhapi;176;Ano 2014
AL;2707909;Santa Luzia do Norte;166;Ano 2014
AL;2707404;Porto de Pedras;162;Ano 2014
AL;2702504;Dois Riachos;144;Ano 2014
AL;2706604;Paulo Jacinto;141;Ano 2014
AL;2701209;Cacimbinhas;139;Ano 2014
AL;2705804;Olho D'água do Casado;139;Ano 2014
AL;2702801;Flexeiras;130;Ano 2014
AL;2704609;Maravilha;128;Ano 2014
AL;2701357;Campestre;125;Ano 2014
AL;2702553;Estrela de Alagoas;124;Ano 2014
AL;2702009;Coité do Nóia;123;Ano 2014
AL;2702702;Feliz Deserto;122;Ano 2014
AL;2707800;Roteiro;121;Ano 2014
AL;2701605;Canapi;115;Ano 2014
AL;2701506;Campo Grande;114;Ano 2014
AL;2706422;Pariconha;107;Ano 2014
AL;2706000;Olivença;106;Ano 2014
AL;2703908;Jundiá;102;Ano 2014
AL;2702207;Coqueiro Seco;93;Ano 2014
AL;2708956;Senador Rui Palmeira;93;Ano 2014
AL;2707206;Poço das Trincheiras;92;Ano 2014
AL;2705408;Monteirópolis;90;Ano 2014
AL;2703502;Jacuípe;90;Ano 2014
AL;2701902;Chã Preta;76;Ano 2014
AL;2704906;Mar Vermelho;73;Ano 2014
AL;2703403;Jacaré dos Homens;73;Ano 2014
AL;2701803;Carneiros;70;Ano 2014
AL;2709004;Tanque D'arca;61;Ano 2014
AL;2703700;Jaramataia;61;Ano 2014
AL;2700904;Belo Monte;59;Ano 2014
AL;2708204;São Brás;56;Ano 2014
AL;2706208;Palestina;56;Ano 2014
AL;2705309;Minador do Negrão;52;Ano 2014
AL;2700805;Belém;49;Ano 2014
AL;2705903;Olho D'água Grande;24;Ano 2014
AL;2707008;Pindoba;22;Ano 2014
AM;1302603;Manaus;60089;Ano 2014
